ID,ADDRESS,CITY,ZIP
3339,4446 N 40th St                               ,Milwaukee      ,53209-5806
3342,435 Southtowne Dr                               ,Belvidere      ,61008-5643
3347,4728 N 73rd St                               ,Milwaukee      ,53218-4713
3407,415 S 8th St                               ,Watertown      ,53094
3442,1680 Valley Rd                               ,Oconomowoc     ,53066-6918
3456,2833 Ellis St                               ,Stevens Point  ,54481-3202
3467,2500 N Green Bay Rd                               ,Racine         ,53405
3505,,Janesville     ,53548
3522,616 W 2nd St Kennedy Elementary School     ,Junction City  ,54443-9701
3580,1977 S 33rd St                               ,Milwaukee      ,53215
3583,2422 W Highland Ave                               ,Milwaukee      ,53233-1025
3606,5518 W Auer Ave                               ,Milwaukee      ,53216-3132
3614,21 Arbor Ln                               ,Appleton       ,54915
3652,709 S 2nd St Brand 2                       ,Alma           ,54610-9755
3661,743 Oak Dr                               ,Jefferson      ,53549-1803
3663,1441 N 24th St                               ,Milwaukee      ,53205-1803
3686,4202 N 49th St                               ,Milwaukee      ,53216-1308
3691,6840 W Acacia St                               ,Milwaukee      ,53223-5744
3736,3524 W Capitol Dr                               ,Milwaukee      ,53216-2535
3744,2857 N 20th St                               ,Milwaukee      ,53206-1605
3749,4541 N 35th St                               ,Milwaukee      ,53209-5901
3832,1330 Green Tree Rd                               ,West Bend      ,53090-1771
3852,4303 N 74th St                               ,Milwaukee      ,53216-1052
3915,4400 Michigan                               ,Manitowoc      ,54220-3067
3941,720 Jackson Ave                               ,Omro           ,54963
3944,1714 N 71st St                               ,Wauwatosa      ,53213
3950,126 Robin Ave                               ,Chilton        ,53014
3954,2006 Ruby Ln                               ,Eau Claire     ,54703
3957,695 Rock River Ave                               ,Waupun         ,53963
3979,821 S Midvale Blvd                               ,Madison        ,53711
3995,6900 N 43rd St                               ,Milwaukee      ,53209
4027,3866 N Teutonia Ave                               ,Milwaukee      ,53206-1952
4047,312 S 3rd St                               ,Evansville     ,53536-1247
4064,S6950 Morning Crest Dr                               ,Augusta        ,54722-7577
107,639 N 25th St                               ,Milwaukee      ,53208
138,610 Duggan Dr                               ,Dubuque        ,52003-0259
145,N4884 State Highway 13                               ,Medford        ,54451-9316
258,754 Bartlett Ave                               ,Altoona        ,54720-2802
307,195 Gardner Ave                               ,Burlington     ,53105-2137
361,N14463 Highway 53                               ,Minong         ,54859-9483
378,4127 W Nash St                               ,Milwaukee      ,53216-3050
388,4158 N Toronto St                               ,Milwaukee      ,53216-1741
418,292 E Lakeview Dr                               ,La Farge       ,54639-7928
595,3949 N 77th St                               ,Milwaukee      ,53222-3027
618,5224 Farwell St                               ,Mc Farland     ,53558-9125
619,4896 Larson Beach Rd                               ,Mc Farland     ,53558-8724
694,6117 Johnson St                               ,Mc Farland     ,53558-9235
713,323 E Garfield Ave                               ,Milwaukee      ,53212-3329
800,5004 25th St                               ,Kenosha        ,53144-1390
1150,4508 N 60th St                               ,Milwaukee      ,53218-5618
1181,4747 N 54th St                               ,Milwaukee      ,53218
1264,5125 W Fairmount Ave                               ,Milwaukee      ,53218-4342
1359,2801 Marshall Ct                               ,Madison        ,53705-2257
1362,4959 N 21st St                               ,Milwaukee      ,53209-5749
1606,8919 W Congress St                               ,Milwaukee      ,53225-5028
1632,6207m N Teutonia Ave                               ,Milwaukee      ,53209
1691,2255 Prairie Ave                               ,Beloit         ,53511-2668
1722,5400 N 20th St                               ,Milwaukee      ,53209-5015
1742,2521 N 21st St                               ,Milwaukee      ,53206-1504
1775,4212 52nd St                               ,Kenosha        ,53144-3902
1816,5529 Marsh Rd                               ,Mc Farland     ,53558-9690
1883,3905 N 6th St                               ,Milwaukee      ,53212
2018,6210 Wild Flower Ct                               ,Mc Farland     ,53558-9012
2166,7511 W Florist Ave                               ,Milwaukee      ,53218-1851
2355,5927 37th Ave                               ,Kenosha        ,53144
2425,W20608 Mckeeth Dr                               ,Galesville     ,54630
2429,2137 Onalaska Ave                               ,La Crosse      ,54603
2439,6004 S Elaine Ave                               ,Cudahy         ,53110
2590,4970 N 36th St                               ,Milwaukee      ,53209-5305
2671,6009 Johnson St                               ,Mc Farland     ,53558-9236
2734,W379n6160 N Lake Rd                               ,Oconomowoc     ,53066
2757,2647 N 51st St                               ,Milwaukee      ,53210
2787,3225 N Rankin St                               ,Appleton       ,54911
2861,3942 N 76th St                               ,Milwaukee      ,53222-3006
2956,920 Illinois St                               ,Racine         ,53405-2224
3047,211 Parkway Dr                               ,Mount Horeb    ,53572-2189
3069,1726 W Lloyd St                               ,Milwaukee      ,53205
3094,2020 W Wells St                               ,Milwaukee      ,53233
3119,1315 Douglas Ave                               ,Racine         ,53402-5016
3158,1900 15th St                               ,Kenosha        ,53140
3166,1716 35th St                               ,Kenosha        ,53140-5206
3277,1743 S 23rd St                               ,Milwaukee      ,53204-3010
3281,4402 Haines Rd Suite 1                       ,Duluth         ,55811-2852
3286,2435 County Road Ab                               ,Mc Farland     ,53558-9771
3430,415 S 8th St                               ,Watertown      ,53094-4730
3449,N7210 Seminary Rd                               ,Oneida         ,54155
3587,2131 Margaret St                               ,Saint Paul     ,55109-4142
3621,900 Chapin St                               ,Florence       ,54121-9388
3655,5905 Juniper Rdg                               ,Mc Farland     ,53558-8836
3704,2949 N Martin Luther King Dr                               ,Milwaukee      ,53212-2301
3841,3940 W Lisbon Ave                               ,Milwaukee      ,53208
3881,824 Fredonia Ave                               ,Fredonia       ,53021
4008,2100 Dawson Ave                               ,La Crosse      ,54603-1182
4089,6401 W Leon Ter                               ,Milwaukee      ,53218-4934
14,1808 Green St                               ,Racine         ,53402-4656
22,3632 N 13th St                               ,Milwaukee      ,53206-3050
129,4365 N 49th St                               ,Milwaukee      ,53216-1309
220,3937 N Sherman Blvd                               ,Milwaukee      ,53216-2448
364,5246 N 38th St                               ,Milwaukee      ,53209-4767
14,2808 Russet St                               ,Racine         ,53405-4437
49,426 Elm St                               ,Antigo         ,54409-1451
90,4174 N 63rd St                               ,Milwaukee      ,53216-1241
91,W6741 Charleen Ln                               ,Greenville     ,54942
134,5341 N 57th St                               ,Milwaukee      ,53218-3225
135,3314 N 50th St                               ,Milwaukee      ,53216-3214
171,2329 N 20th St                               ,Milwaukee      ,53206-1550
232,7820 W Grantosa Dr                               ,Milwaukee      ,53218-3714
287,808 N 25th St                               ,Milwaukee      ,53233-1506
288,224 Garfield St                               ,Green Bay      ,54303-1919
289,747 London St                               ,Menasha        ,54952-2462
290,1814 W 6th St                               ,Racine         ,53404-3248
312,8306 N 93rd St                               ,Milwaukee      ,53224-2744
319,6512 82nd Ave                               ,Kenosha        ,53142-7415
325,5030 Graceland Blvd                               ,Mt Pleasant    ,53406-3659
340,1955 N 20th St                               ,Milwaukee      ,53205-1554
341,10 Mckinley Ave                               ,Racine         ,53404-3414
343,N5320 Cigrand Dr                               ,Waubeka        ,53021-9713
375,10418 W Caldwell Ave                               ,Milwaukee      ,53225-3262
392,2001 Northport Dr                               ,Madison        ,53704-7536
395,604 Eaglenest Ln                               ,Deforest       ,53532-3052
402,4513 N 41st St                               ,Milwaukee      ,53209-5817
448,18 S Wickham Ct                               ,Madison        ,53711-3989
482,4908 W Medford Ave                               ,Milwaukee      ,53216
499,213 2nd St                               ,Manawa         ,54949-9259
61,5324 N 49th St                               ,Milwaukee      ,53218-3403
207,931 16th St                               ,Wisc Rapids    ,54494-3034
213,5201 W Fairmount Ave                               ,Milwaukee      ,53218-4343
235,3514 N 55th St                               ,Milwaukee      ,53216-2810
259,7849 N 60th St Unit B                        ,Milwaukee      ,53223-4179
309,410 Scott St                               ,Merrill        ,54452
333,2305 S Park St                               ,Madison        ,53713-1993
390,1945 Pond St                               ,Madison        ,53704-8111
428,2913 W Vliet St                               ,Milwaukee      ,53208-2432
456,4557 Mccann Rd                               ,Madison        ,53714-1725
458,4466 N 42nd St                               ,Milwaukee      ,53209-5824
469,428 N 35th St                               ,Milwaukee      ,53208-3805
486,2144 N 49th St                               ,Milwaukee      ,53208-1103
12,1101 S Taylor St                               ,Green Bay      ,54304
16,3036 N Ballard Rd                               ,Appleton       ,54911
84,716 Kristy St                               ,Kaukauna       ,54130
118,2607 N 11th St                               ,Sheboygan      ,53083
150,11125 Point Douglas Dr                               ,Hastings       ,55033-9178
160,1760 W 7th Ave                               ,Oshkosh        ,54902-5567
182,E928 County Road N                               ,Luxemburg      ,54217
190,786 Cormier Rd                               ,Green Bay      ,54304
196,749 Truman St                               ,Kimberly       ,54136
222,8425 City Centre Dr                               ,Woodbury       ,55125-3380
249,207 Maple St                               ,Luxemburg      ,54217
267,5311 N 27th St                               ,Milwaukee      ,53209-4936
292,709 N Durkee St                               ,Appleton       ,54911-5054
296,N1984 Evanswood Rd                               ,Weyauwega      ,54983-8506
297,4604 Siggelkow Rd                               ,Mc Farland     ,53558-8758
326,410 N Arlington Ave                               ,Duluth         ,55811-5113
499,3040 W Capitol Dr                               ,Milwaukee      ,53216-2618
506,6600 W Melvina St                               ,Milwaukee      ,53216-2004
521,1224 S Commercial St                               ,Neenah         ,54956
620,466 Collette Ave                               ,Green Bay      ,54304
657,512 N Cedar Dr                               ,Hudson         ,54016
783,3872 N 7th St                               ,Milwaukee      ,53212-1173
835,1816 16th St                               ,Racine         ,53403-2134
850,5063 N 19th St                               ,Milwaukee      ,53209-5762
858,4209 N 40th St                               ,Milwaukee      ,53216-1648
873,2624 N 19th St                               ,Milwaukee      ,53206-2055
914,6602 Inner Dr                               ,Madison        ,53705
1139,2311 N Sherman Blvd                               ,Milwaukee      ,53210-2945
1183,1818 N 20th St                               ,Milwaukee      ,53205-1551
1223,2019 Meadowview St                               ,Kaukauna       ,54130
1303,2441 N 40th St                               ,Milwaukee      ,53210-3016
1403,156 Merry Christmas Ln                               ,Mineral Point  ,53565-1152
1492,1015 W Wisconsin Ave                               ,Kaukauna       ,54130
1497,1275 University Ave                               ,Green Bay      ,54302
1512,2159 N 60th St                               ,Milwaukee      ,53208
1535,E866 Bader Rd                               ,Luxemburg      ,54217
1545,695 Grant St                               ,Winneconne     ,54986
1631,2430 W Wells St                               ,Milwaukee      ,53233-1822
1691,325 Randolph St  ,Mishicot       ,54228-9550
1757,2124 Briarwood Ct                               ,Eau Claire     ,54703-2506
1769,2842 N 124th St                               ,Wauwatosa      ,53222-4002
1784,2320 N 44th St                               ,Milwaukee      ,53210-2936
1812,824 4th St  ,Hudson         ,54016
1907,107 Tustin Rd                               ,Fremont        ,54940
1985,44 W Washington St                               ,Chilton        ,53014
2037,2472 N 36th St                               ,Milwaukee      ,53210
2134,6417 Bettys Ln                               ,Madison        ,53711-3236
2142,4501 W Good Hope Rd                               ,Milwaukee      ,53223-4836
2147,1901-1911 S Washburn St                               ,Oshkosh        ,54904-8292
2167,13780 Hope St                               ,Brookfield     ,53005-1730
2172,4628 Pitt St                               ,Duluth         ,55804-1557
2273,420 Wallace St                               ,Combined Locks ,54113
2274,746 W Third St                               ,Kimberly       ,54136
2281,225 W Kennedy Ave                               ,Kimberly       ,54136
2379,111 E Orleans St                               ,Stillwater     ,55082-6603
2472,900 4th St                               ,Pine City      ,55063-1738
2569,2423 S Main St                               ,Bloomer        ,54724-1644
2593,4420 N 25th St                               ,Milwaukee      ,53209-6102
2687,2601 Prairie Rd                               ,Madison        ,53711-4156
2766,920 Knoke St                               ,Gresham        ,54128
2783,704 Sletten St                               ,Colfax         ,54730
2865,4801 Cooke St                               ,Duluth         ,55804-2461
2891,3866 N 24th St                               ,Milwaukee      ,53206-1423
2916,3168 N Hancock St                               ,Dodgeville     ,53535
2917,4142 N 68th St                               ,Milwaukee      ,53216-1115
2929,3068 N 37th St                               ,Milwaukee      ,53210-1803
2956,4842 N 48th St                               ,Milwaukee      ,53218-4419
2974,3151 N 41st St                               ,Milwaukee      ,53216-3614
2980,7059 10th St                               ,Oakdale        ,55128-5938
3012,2952 N Buffum St                               ,Milwaukee      ,53212-2514
3044,1722 W 6th St                               ,Racine         ,53404-3246
3067,555 Technology Dr                               ,Red Wing       ,55066-2849
3070,48866 State Highway 13                               ,Ashland        ,54806-2179
3165,N3138 Blackberry Tr                               ,Waupaca        ,54981
3259,312 Main St                               ,Luxemburg      ,54217-1150
3295,530 Topeka Dr                               ,Lake Mills     ,53551-1720
3377,1541 Bellevue St Suite 1                       ,Green Bay      ,54311-6266
3387,511 Roger Ct                               ,Kaukauna       ,54130
3452,519 Kilbourn St                               ,Kewaunee       ,54216
3527,W9570 Poker Flats Ct                               ,Dale           ,54931
3604,207 West Ave                               ,Casco          ,54205
3656,2500 N Holton St                               ,Milwaukee      ,53212-2927
3663,4634 W Keefe Ave                               ,Milwaukee      ,53216-2915
3702,1427 S 34th St                               ,Milwaukee      ,53215-1803
3719,7813 W Bradley Rd                               ,Milwaukee      ,53223-3227
3775,451 E Spring St                               ,Waupun         ,53963-1114
3839,1050 W 18th Ave                               ,Oshkosh        ,54902
3840,4991 S Hwy 45                               ,Oshkosh        ,54902
3850,1 Atlas Ct                               ,Madison        ,53714
3915,3353 S Whitnall Ave                               ,Milwaukee      ,53207
3979,2768 N 48th St                               ,Milwaukee      ,53210-2446
4032,5305 N 37th St                               ,Milwaukee      ,53209
4052,1001 Quincy St                               ,Onalaska       ,54650-2338
4068,N6842 N Lake Dr                               ,Elkhorn        ,53121-2886
4080,3117 W Reichert Pl                               ,Milwaukee      ,53209-4106
4085,4368 N 62nd St                               ,Milwaukee      ,53216-1219
4104,3149 N 41st St                               ,Milwaukee      ,53216-3614
4110,4650 N 68th St                               ,Milwaukee      ,53218-4824
4117,5180 N Main St                               ,Winter         ,54896-5103
4131,3960 N 29th St                               ,Milwaukee      ,53216-2639
4144,4601 N 44th St                               ,Milwaukee      ,53218-5202
89,W204n1685 Jackson Dr                               ,Jackson        ,53037-9601
307,3009 Menasha Ave                               ,Manitowoc      ,54220-1627
320,4055 N 42nd St                               ,Milwaukee      ,53216
385,7345 S Loomis Rd                               ,Wind Lake      ,53185
426,1611 N 47th St                               ,Milwaukee      ,53208-2242
437,6565 N 73rd St                               ,Milwaukee      ,53223-6121
438,5229 W Capitol Dr                               ,Milwaukee      ,53216-2353
473,875 Amy Belle Rd                               ,Hubertus       ,53033-1201
490,801 W Lincoln Ave                               ,Milwaukee      ,53215-3222
500,201 N 76th St                               ,Milwaukee      ,53213-3531
519,3802 Regent St                               ,Madison        ,53705-5221
628,475 N Water St                               ,Platteville    ,53818-2719
802,711 Kirkwood Ave                               ,S Milwaukee    ,53172-1609
877,401 S 3rd St                               ,Evansville     ,53536-1289
917,2205 Branch St                               ,Middleton      ,53562-2840
1193,N4w22000 Bluemound Rd W                             ,Waukesha       ,53186-8755
1402,1934 N Martin Luther King Dr                               ,Milwaukee      ,53212-3642
1403,2161 S 16th St                               ,Milwaukee      ,53215-2617
1404,239 W Stark Rd                               ,Cloquet        ,55720-9428
1771,2015 N 11th St                               ,Milwaukee      ,53205-1336
1774,807 16th St                               ,Brodhead       ,53520-1744
1775,2480 South Shore Blvd                               ,White Bear     ,55110
1823,S46w23850 Lawnsdale Rd                               ,Waukesha       ,53189-7902
1827,1650 N Brookfield Rd                               ,Brookfield     ,53045-2324
1864,2410 Green Ridge Dr                               ,Madison        ,53704-2846
1923,2531 S 5th St                               ,Milwaukee      ,53207-1416
1945,627 Johnson St                               ,Watertown      ,53094
2181,3640 N 42nd St                               ,Milwaukee      ,53216-3441
2183,714 Matts Ferry Rd                               ,Baraboo        ,53913-3152
2451,123 E Grove St                               ,Oregon         ,53575-1454
2540,3209 N Achilles St                               ,Milwaukee      ,53212-2037
2541,4004 W Hope Ave                               ,Milwaukee      ,53216
2639,1170 N Bird St                               ,Sun Prairie    ,53590-1170
2642,230 W Klubertanz Dr                               ,Sun Prairie    ,53590-1468
2944,4117 N 7th St                               ,Milwaukee      ,53209
2946,5030 W Hampton Ave                               ,Milwaukee      ,53218-5141
2974,4431 W Kiley Ave                               ,Milwaukee      ,53223-5332
2977,621 Main St                               ,Plum City      ,54761-9044
3077,3319 Boyce Dr Crescent Elementary School    ,Rhinelander    ,54501-3841
3151,2600 Woodcrest Dr                               ,Portage        ,53901-1262
3221,4913 N 107th St                               ,Milwaukee      ,53225-3906
3232,2515 S Austin St                               ,Milwaukee      ,53207-1517
3310,2837 E Dale Ave                               ,Cudahy         ,53110-2507
3326,10410 W Lawn Ave                               ,Milwaukee      ,53225-3224
3337,3448 N 5th St                               ,Milwaukee      ,53212-1482
3338,N5263 190th St                               ,Elmwood        ,54740-9403
3704,3635 N 15th St                               ,Milwaukee      ,53206-2304
3706,2347 W Fond Du Lac Ave                               ,Milwaukee      ,53206-1538
4033,1626 N 24th Pl                               ,Milwaukee      ,53205-1402
4096,4035 Sand Pit Rd                               ,Oshkosh        ,54904-9360
4097,1569 Safian Rd                               ,Pulaski        ,54162-9627
4098,603 Wellington Dr                               ,West Bend      ,53090-2874
386,5114 W Center St                               ,Milwaukee      ,53210-2360
514,8377 N Port Washington Rd                               ,Fox Point      ,53217-2653
518,294 Park Ave                               ,Oconto Falls   ,54154
556,199 Kennedy Hts                               ,Madison        ,53704
614,718 Metomen St                               ,Ripon          ,54971
657,1311 21st Ave                               ,Monroe         ,53566
817,208 S Chestnut Ave                               ,Marshfield     ,54449-2733
1284,W1210 Schaller Rd                               ,Albany         ,53502-9330
1423,425 Technology Dr                               ,Menomonie      ,54751
1537,1013 W Oklahoma                               ,Appleton       ,54914
1568,4827 W Fairmount Ave                               ,Milwaukee      ,53218-4429
1715,4978 N 37th St                               ,Milwaukee      ,53209-5307
1887,1445 North Rd Ste 2                         ,Green Bay      ,54313-5725
1959,315 Ryan St                               ,Holmen         ,54636
2187,6508 N 89th St                               ,Milwaukee      ,53224-5310
2300,2237 Allied Dr                               ,Madison        ,53711-4505
2327,131 S Stephenson Ave                               ,Peshtigo       ,54157-1339
2436,137 N Central Ave                               ,Owen           ,54460-9776
2438,19443 Eden Dr                               ,Galesville     ,54630-7261
2542,W5063 1/2 County Road Q                               ,Merrill        ,54452-9233
2745,,Janesville     ,53546
2819,2419 Harvard Dr                               ,Janesville     ,53548
2859,4851 N 76th St                               ,Milwaukee      ,53218-3826
2865,1111 4th St                               ,Marathon       ,54448-9386
2866,21 Nygard St                               ,Madison        ,53713-2017
2922,304 Mill St                               ,Clinton        ,53525-9480
2943,2905 N 52nd St                               ,Milwaukee      ,53210-1610
2985,1144 N 45th St                               ,Milwaukee      ,53208-2733
3044,810 14th Ave                               ,Union Grove    ,53182-1420
3258,4234 N 22nd St                               ,Milwaukee      ,53209-6716
3299,140 Case Ave                               ,Park Falls     ,54552-1417
3513,1236 S Telulah Ave                               ,Appleton       ,54915
3688,4702 W Vliet St                               ,Milwaukee      ,53208-2628
3718,2150 Eastridge Ctr                               ,Eau Claire     ,54701-3403
3736,2418 19th Ln                               ,Rochester      ,55904-5809
3752,221 Dodge St                               ,Janesville     ,53548
3777,1219 Jefferson St                               ,Wausau         ,54403-5663
3778,5609 Birch St                               ,Schofield      ,54476-2518
3799,9191 80th St                               ,Pleasant Prairi,53158
3855,6111 Wintergreen Dr                               ,Wisc Rapids    ,54494-9082
3885,602 Hillcrest St                               ,West Bend      ,53095
4011,201 Glen View Rd                               ,Mount Horeb    ,53572-3397
10,2101 Post Rd                               ,Fitchburg      ,53713-3581
11,818 N Henry St                               ,Green Bay      ,54302-2928
12,2224 Jerome Blvd                               ,Racine         ,53403-3066
15,1035 Mobile St                               ,Lake Geneva    ,53147-2430
18,2135 Carmel Ave                               ,Racine         ,53405-2629
22,605 Meadow View Rd                               ,Mount Horeb    ,53572-3433
33,2832 N 68th St                               ,Milwaukee      ,53210-1205
35,1537 N 49th St                               ,Milwaukee      ,53208-2252
38,10110 W Fountain Ave                               ,Milwaukee      ,53224-3247
41,1194 23rd St                               ,Cameron        ,54822-9743
44,3263 N 41st St                               ,Milwaukee      ,53216-3616
58,4550 N 85th St                               ,Milwaukee      ,53225-5110
59,2812 Bayshore Dr                               ,La Crosse      ,54603-1002
76,2939 N 21st St                               ,Milwaukee      ,53206-1632
78,5052 N 23rd St                               ,Milwaukee      ,53209-5661
80,2529 W Maple St                               ,Milwaukee      ,53204-3054
83,4248 N 19th Pl                               ,Milwaukee      ,53209-6834
101,835 S 9th Ave                               ,Wausau         ,54401-5942
110,4345 N 28th St Lower                         ,Milwaukee      ,53216-1813
114,4725 N 79th St                               ,Milwaukee      ,53218-4650
119,2900 Elmer Ct                               ,Fall Creek     ,54742-9323
120,4531 77th St                               ,Wisc Rapids    ,54494-9035
121,4937 N 18th St                               ,Milwaukee      ,53209-5755
123,9558 N Otte Ct                               ,Appleton       ,54915
124,424 Lake Ave                               ,Racine         ,53403-1072
127,3615 W Clarke St                               ,Milwaukee      ,53210-3063
132,2827 E Fieldstone Way                               ,Sturtevant     ,53177-1997
133,16620 W Pepper Ln                               ,Brookfield     ,53005
137,5221 W North Ave                               ,Milwaukee      ,53208-1140
144,3803 Sunbrook Rd                               ,Madison        ,53704-2737
147,306 E Conrad Dr                               ,Medford        ,54451-2033
149,7326 Harvest Hill Rd                               ,Madison        ,53717-1008
152,W10848 Johnson Rd                               ,Merrillan      ,54754-8268
156,4129 W Monrovia Way                               ,Milwaukee      ,53209-3549
158,920 42nd St                               ,Kenosha        ,53140-2812
165,4377 N 48th St                               ,Milwaukee      ,53216-1435
166,1921 N 27th St                               ,Milwaukee      ,53208-1502
167,110 Wittwer Rd                               ,Madison        ,53714-1914
170,6875 N Teutonia Ave                               ,Milwaukee      ,53209-2532
172,6201 W Lincoln Creek Dr                               ,Milwaukee      ,53218-4940
174,1401 Oregon St                               ,Racine         ,53405-3151
180,3436 N 10th St                               ,Milwaukee      ,53206-2819
185,849 S Fisk St                               ,Green Bay      ,54304-2211
187,1821 Farnam St                               ,La Crosse      ,54601-5871
189,2201 Nick Ln                               ,De Pere        ,54115-8034
192,1652 S 29th St                               ,Milwaukee      ,53215-1939
199,926 Point Basse Ave                               ,Nekoosa        ,54457-1432
204,77799 Firebreak Rd                               ,Saxon          ,54559-9012
205,98 Kessel Ct                               ,Madison        ,53711-6265
217,5743 N 37th St                               ,Milwaukee      ,53209-4015
218,2962 N 24th Pl                               ,Milwaukee      ,53206
219,3942 N 78th St                               ,Milwaukee      ,53222
224,4354 N 91st St                               ,Milwaukee      ,53222-1612
225,3162 S 28th St                               ,Milwaukee      ,53215-4308
228,4469 N 37th St                               ,Milwaukee      ,53209-5907
229,2338 Harley Dr                               ,Fitchburg      ,53711-4355
230,408 Columbia Ave                               ,Green Bay      ,54303-2943
231,5112 N 20th St                               ,Milwaukee      ,53209-5717
233,815 8th St                               ,Racine         ,53403-1491
239,5409 N 92nd St                               ,Milwaukee      ,53225-3416
240,7050 W Hummingbird Ct                               ,Milwaukee      ,53223-2768
243,4222 W Roosevelt Dr                               ,Milwaukee      ,53216-3058
244,2036 Saint Clair St                               ,Racine         ,53402-4764
246,2970 N 60th St                               ,Milwaukee      ,53210-1401
252,7900 W Beechwood Ave                               ,Milwaukee      ,53223-4967
261,5726 N Sievers Pl                               ,Milwaukee      ,53209-4544
263,3313 Lasalle St                               ,Racine         ,53402-3856
269,326 W Concordia Ave                               ,Milwaukee      ,53212-1941
270,3107 Maple Grove Dr                               ,Madison        ,53719-5011
271,3840 N 42nd St                               ,Milwaukee      ,53216-3033
272,3942 Lakeshore Dr                               ,Rhinelander    ,54501-9519
274,2825 Hayes Ave                               ,Racine         ,53405-4235
276,3151 N 21st St                               ,Milwaukee      ,53206-1724
278,2193 N 51st St                               ,Milwaukee      ,53208-1134
280,6609 N 105th St                               ,Milwaukee      ,53224-5106
281,6030 N 36th St                               ,Milwaukee      ,53209-3606
283,2018 Jefferson St                               ,Two Rivers     ,54241-2622
285,7108 W Sheridan Ave                               ,Milwaukee      ,53218-2922
291,1109 2nd Ave                               ,Holmen         ,54636-9795
295,4515 W Kiley Ave                               ,Milwaukee      ,53223-5334
304,5907 20th Ave                               ,Kenosha        ,53140-3865
305,3727 Clairmont St                               ,Racine         ,53406-5345
315,4318 N 48th St                               ,Milwaukee      ,53216-1436
316,6615 N 103rd St                               ,Milwaukee      ,53224-5101
321,5354 N 34th St                               ,Milwaukee      ,53209-4720
322,6266 W Port Ave                               ,Milwaukee      ,53223-4120
329,4971 N 52nd St                               ,Milwaukee      ,53218-4309
330,17777 Wallow Rd                               ,Glidden        ,54527-9270
331,10541 W Wabash Ave                               ,Milwaukee      ,53224-2349
338,3016 S Hanson Ave                               ,Milwaukee      ,53207-2423
344,5424 N 74th St                               ,Milwaukee      ,53218-2831
346,2113 N 5th St                               ,Sheboygan      ,53081-2849
351,503 Bayview Dr                               ,Madison        ,53715
353,4447 N 37th St                               ,Milwaukee      ,53209-5907
356,4910 N 50th St                               ,Milwaukee      ,53218-4355
367,3034 Manchester Rd                               ,Madison        ,53719-1572
372,1508 Hoover St                               ,New Holstein   ,53061-1634
377,314 William Cir                               ,Verona         ,53593-1542
378,5735 N 74th St                               ,Milwaukee      ,53218-2232
379,1939 N 37th St                               ,Milwaukee      ,53208-1802
381,6221 N Denmark St                               ,Milwaukee      ,53225-1612
385,3028 Todd Dr                               ,Madison        ,53713-2920
386,7833 W Luscher Ave                               ,Milwaukee      ,53218-3745
387,1626 N 40th St                               ,Milwaukee      ,53208-1875
388,1634 Howe St                               ,Racine         ,53403-2608
409,5941 State Road 113                               ,Waunakee       ,53597-9592
411,415 Bay Vw                               ,Madison        ,53715-1407
413,4139 N 50th St                               ,Milwaukee      ,53216-1311
415,3321 Edwards St                               ,Eau Claire     ,54703-0936
423,4346 N 17th St                               ,Milwaukee      ,53209-6929
425,3201 N 8th St                               ,Milwaukee      ,53206-2803
426,7649 N 78th St                               ,Milwaukee      ,53223-3939
430,6102 Valley View Ln                               ,Rosholt        ,54473
431,3132 Losey Blvd                               ,La Crosse      ,54601-7345
434,2549 N Grant Blvd                               ,Milwaukee      ,53210-2943
439,4917 N 105th St                               ,Milwaukee      ,53225-3918
440,4520 N 77th St                               ,Milwaukee      ,53218
443,612 2nd Ave                               ,Ashland        ,54806-3200
449,1806 W Nash St                               ,Milwaukee      ,53206-2415
454,4936 N 90th St                               ,Milwaukee      ,53225-4123
463,2862 N 56th St                               ,Milwaukee      ,53214-3302
464,2681 Humboldt Rd                               ,Green Bay      ,54311-8449
469,1725 Lenard St                               ,Wausau         ,54401-1918
472,6661 N Bourbon St                               ,Milwaukee      ,53224-5151
473,416 Johnson St                               ,Janesville     ,53548-4609
474,229 S Westhaven Dr                               ,Oshkosh        ,54904-7582
475,4921 N 63rd St                               ,Milwaukee      ,53218-4124
481,5156 N 53rd St                               ,Milwaukee      ,53218-4335
487,2619 N 23rd St                               ,Milwaukee      ,53206-1513
20,3129 W Juneau Ave                               ,Milwaukee      ,53208-2937
27,6480 Gurnee Mills Cir                               ,Gurnee         ,60031-5271
48,1180 Main St                               ,Baldwin        ,54002
58,720 S 6th Ave Lincoln Elementary School     ,Wausau         ,54401-5308
60,3101 N 13th St Horace Mann Middle School     ,Wausau         ,54403-2317
87,1825 Division St                               ,New London     ,54961
100,N5762 Cty Rd Pp                               ,Durand         ,54736
102,4694 N 75th St                               ,Milwaukee      ,53218-4718
114,7526 W Fond Du Lac Ave                               ,Milwaukee      ,53218-2816
118,526 Renson Rd                               ,Hartland       ,53029-1818
130,N3082 Crystal Ln                               ,La Crosse      ,54601
156,1919 Elizabeth St                               ,Baraboo        ,53913
159,2790 Hazelwood Ln                               ,Green Bay      ,54304-1801
161,3418 W Auer Ave                               ,Milwaukee      ,53216
162,3220 N Buffum St                               ,Milwaukee      ,53212-2152
164,657 Oak St                               ,Neenah         ,54956
187,266 S Cove Rd                               ,Hudson         ,54016
196,545 N Spring St                               ,Columbus       ,53925
244,2930 S Stratton Dr                               ,West Allis     ,53219-2760
